title,rt_critic,rt_audience,critic_minus_audience,total,tier
E.T.,99,72,27,90,S
Turning Red,95,73,22,90,S
The Incredibles,97,75,22,67,B
Snow White and the Seven Dwarfs,97,78,19,19,F
Cinderella,97,80,17,28,F
Bambi,91,74,17,60,B
Happy Feet,76,60,16,83,A
Matilda,90,74,16,83,A
Paddington,97,82,15,84,A
Peter Pan,80,65,15,59,C
Finding Nemo,99,86,13,89,A
The Princess and the Frog,85,74,11,87,A
Sleeping Beauty,89,79,10,9,F
Mary Poppins,96,86,10,70,B
Tarzan,89,79,10,77,A
Inside Out,98,89,9,87,A
The LEGO Movie,96,87,9,86,A
Ratatouille,96,87,9,87,A
The Wizard of Oz,98,89,9,83,A
How to Train Your Dragon,99,91,8,87,A
Up,98,90,8,91,S
Toy Story,100,92,8,80,A
Lilo & Stitch,86,78,8,92,S
Soul,95,87,8,91,S
Charlotte's Web,78,71,7,85,A
Zootopia,98,92,6,91,S
Minions,55,49,6,66,B
Luca,91,85,6,89,A
Moana,95,89,6,92,S
The Iron Giant,96,90,6,93,S
My Neighbor Totoro,93,87,6,88,A
An American Tail,71,66,5,94,S
Wall-E,95,90,5,88,A
Hercules,84,79,5,63,B
Frozen,90,85,5,70,B
Kung Fu Panda,87,82,5,81,A
The Little Mermaid,93,88,5,26,F
Cars,75,71,4,70,B
Willy Wonka & the Chocolate Factory,91,87,4,57,C
Trolls,75,71,4,70,B
Coco,97,94,3,95,S
Aladdin,95,92,3,44,D
Brave,78,76,2,63,B
The Boss Baby,53,51,2,66,B
The Karate Kid,91,89,2,85,A
The Land Before Time,73,72,1,94,S
Encanto,91,90,1,88,A
Beauty and the Beast,93,92,1,49,C
Tangled,89,88,1,54,C
Spirited Away,97,96,1,91,S
Wreck-It Ralph,87,86,1,87,A
Mulan,86,86,0,92,S
The NeverEnding Story,81,81,0,84,A
The Lion King,93,93,0,48,C
Big Hero 6,90,91,-1,86,A
Sing,72,73,-1,76,A
Despicable Me,81,82,-1,77,A
Ice Age,77,79,-2,87,A
Shrek,88,90,-2,85,A
Shark Tale,36,44,-8,51,C
Pocahontas,55,64,-9,70,B
The Goonies,77,91,-14,82,A
Home Alone,66,80,-14,75,A
Frozen II,77,92,-15,71,B
Madagascar,55,71,-16,66,B
Chicken Little,37,54,-17,74,B
Norm of the North,9,27,-18,57,C
Space Jam,44,63,-19,49,C
Annie,53,74,-21,49,C
Hotel Transylvania,45,71,-26,58,C
Richie Rich,24,51,-27,37,D
Blank Check,11,43,-32,27,F
